NAME OF COMPANY,SYMBOL,SECTOR
Madhav Infra Projects Limited,MADHAVIPL,Construction
"Madhav Marbles & Granites Ltd.,",MADHAV,Consumer Durables
Madhucon Projects Ltd.,MADHUCON,Construction
"Madhusudan Industries Ltd.,",MADHUDIN,Fast Moving Consumer Goods
Madhusudan Securities Ltd,MADHUSE,Financial Services
Madhuveer Com 18 Network Limited,MADHUVEER,"Media, Entertainment & Publication"
Madras Fertilizers Ltd,MADRASFERT,Chemicals
MAESTROS ELECTRONICS & TELECOMMUNICATIONS SYSTEMS LTD,METSL,Capital Goods
"Mafatlal Industries Ltd.,",MAFATIND,Textiles
Magadh Sugar & Energy Limited,MAGADHSUGAR,Fast Moving Consumer Goods
MAGELLANIC CLOUD LIMITED,MCLOUD,Information Technology
Magna Electro Castings Ltd.,MAGNAELQ,Capital Goods
"Magnanimous Trade & Finance Ltd.,",MAGANTR,Services
MAGNUM VENTURES LIMITED,MAGNUM,Forest Materials
Maha Rashtra Apex Corporation Ltd,MAHAPEXLTD,Financial Services
Mahaan Foods Ltd.,MAHAANF,Fast Moving Consumer Goods
Mahalaxmi Rubtech Ltd.,MHLXMIRU,Textiles
Mahalaxmi Seamless Ltd.,MAHALXSE,Capital Goods
Mahamaya Steel Industries Limited,MAHASTEEL,Capital Goods
Mahanagar Gas Limited,MGL,"Oil, Gas & Consumable Fuels"
"Mahanagar Telephone Nigam Ltd.,",MTNL,Telecommunication
Maharashtra Corporation Ltd.,MAHACORP,Services
"Maharashtra Scooters Ltd.,",MAHSCOOTER,Financial Services
Maharashtra Seamless Ltd.,MAHSEAMLES,Capital Goods
Mahasagar Travels Ltd.,MHSGRMS,Services
"Mahashree Trading Ltd.,",MAHSHRE,Services
Mahavir Industries Limited,MAHAVIRIND,Metals & Mining
Mahesh Developers Limited,MAHESH,Realty
Mahindra & Mahindra Financial Services Limited,M&MFIN,Financial Services
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components
Mahindra CIE Automotive Limited,MAHINDCIE,Automobile and Auto Components
MAHINDRA EPC IRRIGATION LIMITED,MAHEPC,Capital Goods
Mahindra Holidays & Resorts India Limited,MHRIL,Consumer Services
Mahindra Lifespace Developers Ltd.,MAHLIFE,Realty
Mahindra Logistics Limited,MAHLOG,Services
Maithan Alloys Limited,MAITHANALL,Metals & Mining
Maitri Enterprises Limited,MAITRI,Metals & Mining
"Majestic Auto Ltd.,",MAJESAUT,Services
Majestic Research Services and Solutions Limited,MRSS,Diversified
Makers Laboratories Ltd.,MAKERSL,Healthcare
MALLCOM (INDIA) LTD.,MALLCOM,Capital Goods
Malu Paper Mills Limited,MALUPAPER,Forest Materials
Man Industries (India) Ltd,MANINDS,Capital Goods
MAN INFRACONSTRUCTION LIMITED,MANINFRA,Construction
Manaksia Aluminium Company Ltd,MNKALCOLTD,Metals & Mining
Manaksia Coated Metals & Industries Ltd,MNKCMILTD,Capital Goods
MANAKSIA LIMITED,MANAKSIA,Capital Goods
Manaksia Steels Limited,MANAKSTELTD,Capital Goods
"Manali Petrochemicals Ltd.,",MANALIPETC,Chemicals
Manappuram Finance Limited,MANAPPURAM,Financial Services
Manas Properties Limited,MANAS,Realty
Mangal Credit and Fincorp Limited,MANCREDIT,Financial Services
"Mangalam Cement Ltd.,",MANGLMCEM,Construction Materials
Mangalam Drugs and Organics Ltd.,MANGALAM,Healthcare
Mangalam Industrial Finance Limited,MANGIND,Financial Services
Mangalam Organics Limited,MANORG,Chemicals
Mangalam Seeds Limited,MSL,Fast Moving Consumer Goods
Mangalore Chemicals & Fertilisers L,MANGCHEFER,Chemicals
Mangalore Refinery & Petrochemicals,MRPL,"Oil, Gas & Consumable Fuels"
"Manipal Finance Corporation Ltd.,",MNPLFIN,Financial Services
Manjeera Constructions Limited,MANJEERA,Realty
Manomay Tex India Limited,MANOMAY,Textiles
Manorama Industries Limited,MANORAMA,Fast Moving Consumer Goods
Manraj Housing Finance Ltd.,MANRAJH,Financial Services
Mansi Finance (Chennai) Ltd,MANSIFIN,Financial Services
"Mansoon Trading Co. Ltd.,",ZMANSOON,Services
Manugraph India Ltd,MANUGRAPH,Capital Goods
Maral Overseas Ltd.,MARALOVER,Textiles
Marathon Nextgen Realty Ltd,MARATHON,Realty
MARBLE CITY INDIA LIMITED,MARBLE,Construction Materials
MARG TECHNO PROJECTS LIMITED,MTPL,Financial Services
Margo Finance Limited,MARGOFIN,Financial Services
Marico Limited,MARICO,Fast Moving Consumer Goods
Maris Spinners Ltd.,MARIS,Textiles
Market Creators Ltd.,MKTCREAT,Financial Services
Markolines Traffic Controls Limited,MTCL,Construction
Marksans Pharma Ltd.,MARKSANS,Healthcare
MARSONS LIMITED,MARSONS,Capital Goods
Martin Burn Ltd,MARBU,Realty
Maruti Infrastructure Ltd.,MAINFRA,Construction
Maruti Interior Products Limited,MARUTIIPL,Consumer Durables
Maruti Securities Ltd.,MARUTISE,Financial Services
Maruti Suzuki India  Ltd.,MARUTI,Automobile and Auto Components
MAS Financial Services Limited,MASFIN,Financial Services
Mastek Limited,MASTEK,Information Technology
"Master Chemicals Ltd.,",MASCH,Textiles
Master Trust Ltd.,MASTERTR,Financial Services
Mather & Platt Fire Systems Ltd.,MPFSL,Services
Mathew Easow Research Securities Lt,MATHEWE,Financial Services
Matrimony.com Limited,MATRIMONY,Consumer Services
MAURIA UDYOG LIMITED,MUL,Capital Goods
Mawana Sugars Ltd,MAWANASUG,Fast Moving Consumer Goods
MAX ALERT SYSTEMS LIMITED,MASL,Capital Goods
Max Financial Services Limited,MFSL,Financial Services
Max Healthcare Institute Limited,MAXHEALTH,Healthcare
Max India Limited,MAXINDIA,Financial Services
Max Ventures and Industries Limited,MAXVIL,Financial Services
Maxheights Infrastructure Limited,MAXHEIGHTS,Realty
Maximus International Limited,MAXIMUS,Services
Mayukh Dealtrade Limited,MAYUKH,Consumer Services
Mayur Floorings Ltd.,MAYURFL,Construction Materials
Mayur Leather Products Ltd.,MAYUR,Consumer Durables
Mayur Uniquoters ltd.,MAYURUNIQ,Consumer Durables
Mazagon Dock Shipbuilders Limited,MAZDOCK,Capital Goods
Mazda Ltd.,MAZDALTD,Capital Goods
MBL INFRASTRUCTURES LIMITED,MBLINFRA,Construction
McLeod Russel India Limited,MCLEODRUSS,Fast Moving Consumer Goods
McNally Bharat Engineering Company Limited,MBECL,Construction
Media Matrix Worldwide Ltd.,MMWL,"Media, Entertainment & Publication"
Mediaone Global Entertainment Limited,MEDIAONE,"Media, Entertainment & Publication"
Medicamen Biotech Ltd.,MEDICAMEQ,Healthcare
"Medi-Caps Ltd.,",MEDICAPQ,Healthcare
Medico Intercontinental Limited,MIL,Financial Services
MEDICO REMEDIES LIMITED,MEDICO,Healthcare
Medinova Diagnostic Services Ltd.,MEDINOV,Healthcare
Medplus Health Services Limited,MEDPLUS,Consumer Services
Meenakshi Enterprises Ltd.,MEL,Financial Services
Meera Industries Limited,MEERA,Capital Goods
Mefcom Capital Markets Ltd.,MEFCOMCAP,Financial Services
Mega Corporation Ltd,MEGACOR,Financial Services
Mega Fin (India) Ltd.,MEGFI,Services
Mega Nirman & Industries Limited,MNIL,Realty
Megasoft Ltd.,MEGASOFT,Telecommunication
Megastar Foods Limited,MEGASTAR,Fast Moving Consumer Goods
Meghmani Finechem Limited,MFL,Chemicals
Meghmani Organics Limited,MOL,Chemicals
Megri Soft Limited,MEGRISOFT,Services
Mehai Technology  Limited,MEHAI,Services
Mehta Housing Finance Ltd.,MEHTAHG,Financial Services
Mehta Integrated Finance Ltd.,MEHIF,Financial Services
Mehta Securities Ltd.,MEHSECU,Financial Services
Melstar Information Technologies Ltd.,MELSTAR,Information Technology
MENA MANI INDUSTRIES LIMITED,MENAMANI,Financial Services
Menon Bearings Ltd,MENONBE,Automobile and Auto Components
Menon Pistons Ltd.,MENNPIS,Automobile and Auto Components
MEP Infrastructure Developers Limited,MEP,Services
Mercantile Ventures Limited,MERCANTILE,Services
Mercator Limited,MERCATOR,"Oil, Gas & Consumable Fuels"
Mercury Laboratories Limited,MERCURYLAB,Healthcare
"Mercury Trade Links Ltd.,",MERCTRD,Services
Metal Coatings (India) Ltd.,METALCO,Capital Goods
Metalyst Forgings Limited,METALFORGE,Capital Goods
Metro Brands Limited,METROBRAND,Consumer Durables
Metroglobal Limited,METROGLOBL,Services
Metropolis Healthcare Limited,METROPOLIS,Healthcare
Mewar Hi-Tech Engineering Limited,MHEL,Construction
Meyer Apparel Limited,MAL,Consumer Durables
MFL India Ltd,MFLINDIA,Services
MFS Intercorp Limited,MFSINTRCRP,Capital Goods
MIC Electronics Limited,MIC,Capital Goods
"Microse India Limited,",MICROSE,Financial Services
Mid East Portfolio Management Ltd.,MIDEASTP,Financial Services
Mid India Industries Limited,MIDINDIA,Textiles
Mihika Industries Ltd.,MIHIKA,Services
Milestone Furniture Limited,MILEFUR,Consumer Durables
Milestone Global Limited,MILESTONE,Construction Materials
"Milkfood Ltd.,",MLKFOOD,Fast Moving Consumer Goods
Millennium Online Solutions (India) Ltd,MILLENNIUM,Services
Minaxi Textiles Ltd.,MINAXI,Textiles
Minda Corporation Limited,MINDACORP,Automobile and Auto Components
Minda Industries Ltd.,MINDAIND,Automobile and Auto Components
Mindteck (India) Ltd,MINDTECK,Information Technology
MindTree  Limited,MINDTREE,Information Technology
Mini Diamonds (India) Ltd.,MINID,Consumer Durables
Minolta Finance Ltd.,MINOLTAF,Financial Services
Mirc Electronics Ltd,MIRCELECTR,Consumer Durables
Mirch Technologies (India) Ltd,MIRCH,Capital Goods
Mirza International  Limited,MIRZAINT,Consumer Durables
Mishka Exim Limited,MISHKA,Consumer Durables
Mishra Dhatu Nigam Limited,MIDHANI,Capital Goods
Mishtann Foods Limited,MISHTANN,Fast Moving Consumer Goods
Misquita Engineering Limited,MISQUITA,Capital Goods
Mitshi India Limited,MITSHI,Services
Mitsu Chem Plast Limited,MITSU,Capital Goods
Miven Machine Tools Ltd.,MIVENMACH,Capital Goods
"MMTC Ltd.,",MMTC,Services
"Modella Woollens Ltd.,",MODWOOL,Services
Modern Converters Limited,MODCL,Fast Moving Consumer Goods
Modern Dairies Ltd.,MODAIRY,Fast Moving Consumer Goods
"Modern Insulators Ltd.,",MODINSU,Capital Goods
Modern Shares and Stockbrokers Ltd.,MODRNSH,Financial Services
Modern Steels Limited,MDRNSTL,Capital Goods
Modi Naturals Limited,MODINATUR,Fast Moving Consumer Goods
"Modi Rubber Ltd.,",MODIRUBBER,Automobile and Auto Components
"Modipon Ltd.,",MODIPON,Realty
Modison Metals Ltd,MODISNME,Capital Goods
MODULEX CONSTRUCTION TECHNOLOGIES LIMITED,MODULEX,Construction
Mohit Industries Limited,MOHITIND,Textiles
Mohit Paper Mills Ltd.,MOHITPPR,Forest Materials
Mohite Industries Limited,MOHITE,Textiles
MOIL Limited,MOIL,Metals & Mining
Mold-Tek Packaging Limited,MOLDTKPAC,Capital Goods
Mold-Tek Technologies Ltd,MOLDTEK,Information Technology
Monarch Networth Capital Limited,MONARCH,Financial Services
Money Masters Leasing & Finance Limited,MMLF,Financial Services
MONEYBOXX FINANCE LIMITED,MONEYBOXX,Financial Services
MONIND LIMITED,MONIND,Capital Goods
Monte Carlo Fashions Limited,MONTECARLO,Textiles
Moongipa Capital Finance Ltd.,MONGIPA,Financial Services
Moongipa Securities Ltd.,MOONGIPASEC,Financial Services
Morarjee Textiles Limited,MORARJEE,Textiles
Morarka Finance Ltd.,MORARKFI,Financial Services
Morepen Laboratories Ltd.,MOREPENLAB,Healthcare
Morgan Ventures Ltd.,MORGAN,Financial Services
Morganite Crucible (India) Limited,MORGANITE,Capital Goods
MOSCHIP TECHNOLOGIES LIMITED,MOSCHIP,Information Technology
Motherson Sumi Wiring India Limited,MSUMI,Automobile and Auto Components
Motilal Oswal Financial Services Limited,MOTILALOFS,Financial Services
Motilal Oswal Mutual Fund-Permitted,MOM50,Financial Services
Motor & General Finance (M.G.F.) Lt,MOTOGENFIN,Services
MOUNT HOUSING AND INFRASTRUCTURE LIMITED,MOUNT,Realty
MPDL LIMITED,MPDL,Realty
Mphasis Limited,MPHASIS,Information Technology
MPIL CORPORATION LIMITED,MPILCORPL,Financial Services
MPL Plastics Limited,MPL,Capital Goods
MPS Limited,MPSLTD,Consumer Services
MRC Exim Limited,MRCEXIM,Services
MRO-TEK Realty Limited,MRO-TEK,Information Technology
MRP Agro Limited,MRP,Consumer Services
Mrs. Bectors Food Specialities Limited,BECTORFOOD,Fast Moving Consumer Goods
"Mrugesh Trading Ltd.,",MRUTR,Financial Services
MSP STEEL & POWER LTD.,MSPL,Capital Goods
MSTC Limited,MSTC,Services
MT EDUCARE LIMITED,MTEDUCARE,Consumer Services
MTAR Technologies Limited,MTARTECH,Capital Goods
Mudra Financial Services Ltd.,MUDRA,Financial Services
"Mukand Ltd.,",MUKANDLTD,Metals & Mining
Mukat Pipes Limited,MUKATPIP,Capital Goods
Mukesh Babu Financial Services Ltd.,MUKESHB,Financial Services
Mukta Agriculture Limited,MUKTA,Services
Mukta Arts Ltd.,MUKTAARTS,Consumer Services
"Muller & Phipps (India) Ltd.,",MULLER,Services
Multi Commodity Exchange of India Ltd,MCX,Financial Services
Multibase India Ltd,MULTIBASE,Chemicals
"Multiplus Holdings Ltd.,",MULTIIN,Services
Multipurpose Trading & Agencies Ltd,ZMULTIPU,Services
Munjal Auto Industries Ltd.,MUNJALAU,Automobile and Auto Components
"Munjal Showa Ltd.,",MUNJALSHOW,Automobile and Auto Components
Munoth Capital Market Ltd,MUNCAPM,Financial Services
MUNOTH COMMUNICATION LIMITED,MCLTD,Financial Services
"Murudeshwar Ceramics Ltd.,",MURUDCERA,Consumer Durables
Music Broadcast Limited,RADIOCITY,"Media, Entertainment & Publication"
Muthoot Capital Services Ltd.,MUTHTFN,Financial Services
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,Financial Services
MUZALI ARTS LIMITED,MUZALI,Services
My Money Securities Ltd.,MYMONEY,Financial Services
"Mysore Petro Chemicals Ltd.,",MYSORPETRO,Chemicals
Mystic Electronics Limited,MYSTICELE,Services
"N.B. Footwear Ltd.,",NBFOOT,Consumer Durables
N.D.Metal Industries Ltd,NDMETAL,Metals & Mining
N.G.Industries Ltd.,NGIND,Healthcare
N.K.Industries Ltd.,NKIND,Fast Moving Consumer Goods
N.R.Agarwal Industries Ltd.,NRAGRINDQ,Forest Materials
N2N Technologies Limited,NNTL,Services
NACL Industries Limited,NACLIND,Chemicals
Nagarjuna Agritech Ltd.,NAGTECH,Fast Moving Consumer Goods
NAGARJUNA FERTILIZERS AND CHEMICALS LTD.,NAGARFERT,Chemicals
Nagpur Power & Industries Ltd,NAGPI,Metals & Mining
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP,Financial Services
Nagreeka Exports Ltd.,NAGREEKEXP,Textiles
Nahar Capital & Financial Services Ltd.,NAHARCAP,Financial Services
Nahar Industrial Enterprises Ltd,NAHARINDUS,Textiles
Nahar Polyfilms Ltd.,NAHARPOLY,Capital Goods
"Nahar Spinning Mills Ltd.,",NAHARSPING,Textiles
NAKODA GROUP OF INDUSTRIES LIMITED,NGIL,Fast Moving Consumer Goods
Nalin Lease Finance Ltd.,NLFL,Financial Services
Nalwa Sons Investment Ltd,NSIL,Financial Services
Nam Securities Ltd.,NAM,Financial Services
Nanavati Ventures Limited,NVENTURES,Metals & Mining
Nandan Denim Limited,NDL,Textiles
Narayana Hrudayalaya Limited,NH,Healthcare
Narbada Gems and Jewellery Limited,NARBADA,Consumer Durables
Narendra Properties Ltd.,NARPROP,Realty
Narmada Gelatines Ltd.,SHAWGELTIN,Chemicals
Narmada Macplast Drip Irrigation Sy,NARMP,Capital Goods
Natco Pharma Ltd.,NATCOPHARM,Healthcare
Nath Biogene India Ltd.,NATHBIOGEN,Fast Moving Consumer Goods
NATH INDUSTRIES LIMITED,NATHIND,Forest Materials
"National Aluminium Co. Ltd.,",NATIONALUM,Metals & Mining
"National Fertilizers Ltd.,",NFL,Chemicals
National Fittings Limited,NATFIT,Capital Goods
National General Industries Ltd.,NATGENI,Capital Goods
"National Oxygen Ltd.,",NOL,Chemicals
National Peroxide Ltd.,NATPEROX,Chemicals
National Plastic Industries Ltd.,NATPLAS,Capital Goods
National Plastic Technologies Ltd,NATPLASTI,Capital Goods
National Plywood Industries Ltd.,NATPLY,Forest Materials
National Standard (India) Limited,NATIONSTD,Realty
National Steel & Agro Industries Ltd.,NATNLSTEEL,Capital Goods
Natraj Proteins Ltd.,NATRAJPR,Fast Moving Consumer Goods
Natura Hue Chem Ltd.,NATHUEC,Fast Moving Consumer Goods
Natural Biocon (India) Limited,NATURAL,Chemicals
Natural Capsules Ltd.,NATCAPSUQ,Healthcare
Naturite Agro Products Limited,NAPL,Fast Moving Consumer Goods
Nava Bharat Ventures Ltd,NBVENTURES,Power
Navigant Corporate Advisors Limited,NAVIGANT,Financial Services
Navin Fluorine International Limited,NAVINFLUOR,Chemicals
Navkar Corporation Limited,NAVKARCORP,Services
NAVKAR URBANSTRUCTURE LIMITED,NAVKAR,Realty
Navneet Education Limited,NAVNETEDUL,"Media, Entertainment & Publication"
Navoday Enterprises Limited,NAVODAYENT,Services
Naysaa Securities Limited,NAYSAA,Financial Services
Nazara Technologies Limited,NAZARA,"Media, Entertainment & Publication"
NBCC (India) Limited,NBCC,Construction
NCC Bluewater Products Ltd.,NCCBLUE,Fast Moving Consumer Goods
NCC Limited,NCC,Construction
"NCL Industries Limited,",NCLIND,Construction Materials
NCL Research And Financial Services,NCLRESE,Financial Services
NDA Securities ltd.,NDASEC,Financial Services
NDR Auto Components Limited,NDRAUTO,Automobile and Auto Components
Nectar Lifesciences Limited,NECLIFE,Healthcare
"Neelamalai Agro Industries Ltd.,",NEAGI,Fast Moving Consumer Goods
Neelkanth Rockminerals ltd.,NEELKAN,Construction Materials
NEERAJ PAPER MARKETING LIMITED,NEERAJ,Services
NEL HOLDINGS SOUTH LIMITED,NEH,Realty
Nelcast Limited,NELCAST,Capital Goods
Nelco Ltd,NELCO,Information Technology
Neo Infracon Ltd.,NEOINFRA,Realty
Neogem India Limited,NOGMIND,Consumer Durables
Neogen Chemicals Limited,NEOGEN,Chemicals
Nesco Ltd,NESCO,Services
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods
Netlink Solutions (India) Ltd.,NETLINK,Information Technology
Netripples Software Limited,NETRIPPLES,Information Technology
Nettlinx Ltd.,NETTLINX,Telecommunication
Network 18 Media & Investments Limited,NETWORK18,"Media, Entertainment & Publication"
Neuland Laboratories Limited.,NEULANDLAB,Healthcare
New Delhi Television Limited,NDTV,"Media, Entertainment & Publication"
NEW LIGHT APPARELS LIMTED,NEWLIGHT,Services
New Markets Advisory Ltd,NEWMKTADV,Information Technology
Newgen Software Technologies Limited,NEWGEN,Information Technology
Next Mediaworks Ltd,NEXTMEDIA,"Media, Entertainment & Publication"
NEXUS SURGICAL AND MEDICARE LIMITED,NEXUSSURGL,Financial Services
NGL Fine Chem Ltd.,NGLFINE,Healthcare
NHC FOODS LIMITED,NHCFOODS,Fast Moving Consumer Goods
NHPC Limited,NHPC,Power
Nicco Parks And Resorts Ltd.,NICCOPAR,Consumer Services
Nidhi Granites Limited,NIDHGRN,Construction Materials
Nihar Info Global Ltd.,NIHARINF,Information Technology
"NIIT Ltd.,",NIITLTD,Consumer Services
Nikhil Adhesives Ltd.,NIKHILAD,Chemicals
Nikki Global Finance Ltd.,NIKKIGL,Financial Services
Nila Infrastructures Ltd,NILA,Realty
Nila Spaces Ltd,NILASPACES,Realty
Nilachal Refractories Ltd.,NILACHAL,Capital Goods
Nile Ltd.,NILE,Metals & Mining
Nilkamal Limited,NILKAMAL,Consumer Durables
"Nilkanth Engineering Ltd.,",ZNILKENG,Services
Nimbus Projects Limited,NIMBSPROJ,Realty
NINtec Systems Limited,NINSYS,Information Technology
NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NAM-INDIA,Financial Services
Niraj Cement Structurals Limited,NIRAJ,Construction
"Nirav Commercials Ltd.,",NIRAVCOM,Services
"Nirlon Limited,",NIRLON,Services
Nitco Ltd.,NITCO,Consumer Durables
Nitin Castings Limited,NITINCAST,Capital Goods
Nitin Spinners Ltd.,NITINSPIN,Textiles
Nitta Gelatin India Ltd,NITTAGELA,Chemicals
NIVAKA FASHIONS LIMITED,NIVAKA,Textiles
"Nivi Trading Ltd.,",ZNIVITRD,Services
Niyogin Fintech Limited,NIYOGIN,Financial Services
NLC India Limited,NLCINDIA,Power
NMDC Ltd,NMDC,Metals & Mining
NMS RESOURCES GLOBAL LIMITED,NMSRESRC,Services
NOCIL Ltd,NOCIL,Chemicals
Noida Toll Bridge Company Ltd,NOIDATOLL,Services
Norris Medicines Ltd.,NORRIS,Services
North Eastern Carrying Corporation Limited,NECCLTD,Services
Northern Spirits Limited,NSL,Services
Northlink Fiscal And Capital Services Ltd.,NORTHLINK,Financial Services
Nouveau Global Ventures Limited,NOUVEAU,Services
Novartis India Limited.,NOVARTIND,Healthcare
Novateor Research Laboratories Limited,NOVATEOR,Fast Moving Consumer Goods
NPR Finance Ltd.,NPRFIN,Financial Services
NRB Bearings Ltd.,NRBBEARING,Capital Goods
NRB INDUSTRIAL BEARINGS LIMITED,NIBL,Capital Goods
NTC INDUSTRIES LIMITED,NTCIND,Fast Moving Consumer Goods
NTPC Limited,NTPC,Power
Nucleus Software Exports Ltd,NUCLEUS,Information Technology
Nureca Limited,NURECA,Healthcare
Nutech Global Ltd.,NUTECGLOB,Textiles
Nutricircle Limited,NUTRICIRCLE,Consumer Durables
Nuvoco Vistas Corporation Limited,NUVOCO,Construction Materials
Nuway Organic Naturals (India) Ltd.,NUWAY,Services
NXTDIGITAL LIMITED ,NXTDIGITAL,"Media, Entertainment & Publication"
Nyssa Corporation Limited,NYSSACORP,Services
O. P. Chains Limited,OPCHAINS,Services
Oasis Securities Limited,OASISEC,Financial Services
OBEROI REALTY LIMITED,OBEROIRLTY,Realty
ObjectOne Information Systems Ltd,OONE,Information Technology
Oceanic Foods Limited,OCEANIC,Fast Moving Consumer Goods
Octal Credit Capital Ltd.,OCTAL,Financial Services
Octavius Plantations Limited,OCTAVIUSPL,Fast Moving Consumer Goods
Octaware Technologies Limited,OCTAWARE,Information Technology
Odyssey Corporation Ltd.,ODYCORP,Financial Services
Odyssey Technologies Ltd.,ODYSSEY,Information Technology
Oil And Natural Gas Corporation Ltd,ONGC,"Oil, Gas & Consumable Fuels"
Oil Country Tubular Ltd.,OILCOUNTUB,"Oil, Gas & Consumable Fuels"
Oil India Limited,OIL,"Oil, Gas & Consumable Fuels"
OK Play India Ltd.,OKPLA,Consumer Durables
OLECTRA GREENTECH LIMITED,OLECTRA,Automobile and Auto Components
Olympia Industries Ltd.,OLYMPTX,Consumer Services
Olympic Cards Limited,OLPCL,Consumer Durables
"Olympic Oil Industries Ltd.,",OLYOI,Fast Moving Consumer Goods
OM INFRA LIMITED,OMINFRAL,Construction
Omansh Enterprises Limited,OMANSH,Services
"Omax Autos Ltd.,",OMAXAUTO,Automobile and Auto Components
OMAXE LIMITED,OMAXE,Realty
Omkar Overseas ltd.,OMKAR,Textiles
OMKAR SPECIALITY CHEMICALS LIMITED,OMKARCHEM,Chemicals
Omni Axs Software Ltd.,OMNIAX,Information Technology
Omnipotent Industries Limited,OMNIPOTENT,"Oil, Gas & Consumable Fuels"
One 97 Communications Limited,PAYTM,Financial Services
ONE GLOBAL SERVICE PROVIDER LIMITED,ONEGLOBAL,Healthcare
Onelife Capital Advisors Ltd,ONELIFECAP,Financial Services
OnMobile Global Ltd.,ONMOBILE,Telecommunication
Ontic Finserve Limited,ONTIC,Financial Services
Onward Technologies Ltd.,ONWARDTEC,Information Technology
Optiemus Infracom Limited,OPTIEMUS,Telecommunication
Optimus Finance Limited,OPTIFIN,Financial Services
Oracle Credit Limited,ORACLECR,Financial Services
Oracle Financial Services Software Limited,OFSS,Information Technology
Orbit Exports Ltd.,ORBTEXP,Textiles
ORCHASP LIMITED,ORCHASP,Information Technology
Orchid Pharma Limited,ORCHIDPHAR,Healthcare
Organic Coatings Ltd.,ORGCOAT,Chemicals
Oricon Enterprises Ltd.,ORICON,Capital Goods
Orient Abrasives Ltd.,ORIENTABRA,Capital Goods
Orient Bell Limited,ORIENTBELL,Consumer Durables
"Orient Beverages Ltd.,",ORIBEVER,Fast Moving Consumer Goods
ORIENT CEMENT LIMITED,ORIENTCEM,Construction Materials
Orient Electric Limited,ORIENTELEC,Consumer Durables
Orient Green Power Company Limited,GREENPOWER,Power
Orient Paper & Industries Ltd.,ORIENTPPR,Forest Materials
Orient Press ltd.,ORIENTLTD,Capital Goods
Orient Tradelink Ltd.,ORIENTTR,"Media, Entertainment & Publication"
ORIENTAL AROMATICS LIMITED,OAL,Chemicals
"Oriental Carbon & Chemicals Ltd.,",ORIENTCQ,Chemicals
"Oriental Hotels Ltd.,",ORIENTHOT,Consumer Services
ORIENTAL RAIL INFRASTRUCTURE LIMITED,ORIRAIL,Capital Goods
Oriental Trimex Limited,ORIENTALTL,Consumer Durables
Orissa Bengal Carrier Limited,OBCL,Services
Orissa Minerals Development Company Limited,ORISSAMINE,Metals & Mining
Orosil Smiths India Limited,OROSMITHS,Consumer Durables
Ortel Communications Limited,ORTEL,"Media, Entertainment & Publication"
Ortin Laboratories Limited,ORTINLAABS,Healthcare
Oscar Global Ltd,OSCARGLO,Consumer Durables
"Oseaspre Consultants Ltd.,",OSEASPR,Services
OSIAJEE TEXFAB LIMITED,OSIAJEE,Textiles
"Oswal Agro Mills Ltd.,",OSWALAGRO,Services
Oswal Greentech Limited,BINDALAGRO,Financial Services
"Oswal Leasing Ltd.,",OSWALEA,Services
Oswal Overseas Ltd,OSWALOR,Fast Moving Consumer Goods
Oswal Yarns Ltd.,OSWAYRN,Services
Otco International Ltd,OTCO,Services
Ovobel Foods Ltd.,OVOBELE,Fast Moving Consumer Goods
Ozone World Limited,OZONEWORLD,Fast Moving Consumer Goods
"P.B.M. Polytex Ltd.,",PBMPOLY,Textiles
P.G.Foils Ltd.,PGFOILQ,Metals & Mining
P.H. Capital Ltd.,PHCAP,Financial Services
P.M. Telelinnks Limited,PMTELELIN,Capital Goods
Pacheli Industrial Finance Limited,PIFL,Financial Services
Pacific Industries ltd.,PACIFICI,Consumer Durables
Padam Cotton Yarns Ltd.,PADAMCO,Textiles
Padmalaya Telefilms Ltd.,PADMALAYAT,"Media, Entertainment & Publication"
Padmanabh Industries Limited,PADMAIND,Chemicals
PAE LTd.,PAEL,Automobile and Auto Components
Page Industries Ltd.,PAGEIND,Textiles
PAISALO DIGITAL LIMITED,PAISALO,Financial Services
Palash Securities Limited,PALASHSEC,Fast Moving Consumer Goods
Palco Metals Limited,PALCO,Metals & Mining
Palm Jewels Limited,PALMJEWELS,Services
Palred Technologies Limited,PALRED,Information Technology
Pan Electronics India Ltd.,PANELEC,Capital Goods
Pan India Corporation Ltd,PANINDIAC,Financial Services
Panacea Biotec Ltd.,PANACEABIO,Healthcare
Panache Innovations Limited,PANACHE,Services
PANAFIC INDUSTRIALS LTD,PANAFIC,Financial Services
Panama Petrochem Ltd.,PANAMAPET,"Oil, Gas & Consumable Fuels"
Panasonic Carbon India Co.Ltd,PANCARBON,Capital Goods
Panasonic Energy India Co. Ltd.,PANAENERG,Fast Moving Consumer Goods
Panchmahal Steel Ltd.,PANCHMAHQ,Capital Goods
Panchsheel Organic Ltd.,PANCHSHEEL,Healthcare
Panjon Ltd.,PANJON,Fast Moving Consumer Goods
Pankaj Piyush Trade & Inv. Ltd,PANKAJPIYUS,Automobile and Auto Components
Pankaj Polymers Ltd.,PANKAJPO,Capital Goods
